Average nutrient power %,pH,CEC,phosphorous,potassium,calcium,magnessium,nitrogen,lime_index
18.20224338,2,0.13974359,11,9,10,8,4,70
20.5654787,2.5,0.405384615,13,19,38,20,6,69
27.4567,2.8,0.897,25,35,51,25,7,45
23.14233069,3,0.668461538,17,28,66,32,8,68
25.73288131,3.5,0.931538462,17,37,94,44,10,70
27.39168047,3.6,1.194615385,18,46,122,56,12,70
54.78346,3.8,3.45789,19,54,181,78,67,70
29.49623915,3.9,1.455128205,20,54,150,68,14,70
31.33360973,4.1,1.718205128,21,63,178,80,16,70
32.99974744,4.3,1.981282051,22,72,206,92,18,69
34.89068945,4.6,2.244358974,22,81,234,104,20,69
36.90663146,4.9,2.507435897,23,90,262,116,22,69
39.29023492,5.1,2.770512821,27,99,290,128,24,70
41.07403407,5.2,3.033589744,29,108,318,140,26,70
42.97549467,5.2,3.296666667,32,117,346,152,28,71
44.58806095,5.3,3.55974359,34,126,374,164,30,70
59.35784,5.8,5.67234,36,123,321,151,31,60
46.58547678,5.4,3.82025641,38,134,402,176,32,70
72.3478,6.3,4.589231,33,170,679,171,33,69
48.24427593,5.5,4.083333333,39,143,430,188,34,70
50.90307508,5.6,4.346410256,48,152,458,200,36,70
52.63330281,5.6,4.609487179,51,161,486,212,38,70
54.23853053,5.6,4.872564103,53,170,514,224,40,70
55.89732969,5.7,5.135641026,54,179,542,236,42,70
57.67778363,5.9,5.385897436,56,183,570,248,44,70
59.17051617,6,5.628461538,58,184,598,260,46,70
60.64739868,6.1,5.878717949,59,188,626,272,48,70
61.92651454,6.2,6.123846154,59,190,654,284,50,70
58.3445,6.2,7.889,59,195,330,212,51,68
63.2480142,6.3,6.366410256,61,191,682,296,52,69
64.90681335,6.4,6.629487179,62,200,710,308,54,69
53.4567,6.5,6.543,69,234,670,313,90,52
66.41274065,6.4,6.882307692,63,205,738,320,56,70
67.72823983,6.5,7.13,63,208,766,332,58,70
34.567,3.4,23.45,69,208,770,312,23,36
68.74616806,6.5,7.372564103,64,209,794,344,60,69
69.96186295,6.5,7.62025641,66,212,822,356,62,68
71.2858736,6.5,7.86025641,67,212,850,368,64,69
72.8123342,6.5,8.123333333,67,221,878,380,66,70
74.42490048,6.6,8.386410256,69,230,906,392,68,69
76.43330824,6.634,8.649487179,71,239,934,404,70,71
77.84766024,6.693,8.912564103,72,248,962,416,72,70
79.46538796,6.7,9.175641026,74,257,990,428,74,70
80.2765342,6.7,9.431025641,76,263,1018,440,76,66
81.50199458,6.7,9.670769231,79,272,1058,442,78,64
82.91297627,6.7,9.902179487,81,281,1098,443,80,64
84.61542894,6.8,10.18358974,81,290,1138,450,82,65
74.32,6.3,10.3,82,230,1001,230,34,65
78.7834,6.9,11.78,85,320,130,89,67,64
